Linux 5.4.0-100-generic (node-0.vhive-test.ut-osa-pg0.wisc.cloudlab.us) 	02/14/2023 	_x86_64_	(40 CPU)

01:30:01 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:34:16 PM 20001     16283  12941.00      0.00 6810356  781928   0.40  python3
01:34:17 PM 20001     16283   1278.00      0.00 6810356  781928   0.40  python3
01:34:18 PM 20001     16283    908.00      0.00 6810356  781928   0.40  python3
01:34:19 PM 20001     16283    632.00      0.00 6810356  781928   0.40  python3
01:34:20 PM 20001     16283    589.00      0.00 6810356  781928   0.40  python3
01:34:21 PM 20001     16283   1628.00      0.00 6810356  781928   0.40  python3
01:34:22 PM 20001     16283   3233.00      0.00 6810356  781928   0.40  python3
01:34:23 PM 20001     16283   1702.00      0.00 6810356  781928   0.40  python3
01:34:24 PM 20001     16283    920.00      0.00 6810356  781928   0.40  python3
01:34:25 PM 20001     16283   2617.00      0.00 6810356  781928   0.40  python3
01:34:26 PM 20001     16283   2669.00      0.00 6810356  781928   0.40  python3
01:34:27 PM 20001     16283   1262.00      0.00 6810356  781928   0.40  python3
01:34:28 PM 20001     16283   2366.00      0.00 6810356  781928   0.40  python3
01:34:29 PM 20001     16283   2585.00      0.00 6810356  781928   0.40  python3
01:34:30 PM 20001     16283   1991.00      0.00 6810356  781928   0.40  python3
01:34:31 PM 20001     16283    743.00      0.00 6810356  781928   0.40  python3
01:34:32 PM 20001     16283   2611.00      0.00 6810356  781928   0.40  python3
01:34:33 PM 20001     16283   2582.00      0.00 6810356  781928   0.40  python3
01:34:34 PM 20001     16283    770.00      0.00 6810356  781928   0.40  python3
01:34:35 PM 20001     16283   1904.00      0.00 6810356  781928   0.40  python3
01:34:36 PM 20001     16283   2611.00      0.00 6810356  781928   0.40  python3
01:34:37 PM 20001     16283   2775.00      0.00 6810356  781928   0.40  python3
01:34:38 PM 20001     16283    824.00      0.00 6810356  781928   0.40  python3
01:34:39 PM 20001     16283   2586.00      0.00 6810356  781928   0.40  python3
01:34:40 PM 20001     16283   2769.00      0.00 6810356  781928   0.40  python3
01:34:41 PM 20001     16283    890.00      0.00 6810356  781928   0.40  python3
01:34:42 PM 20001     16283   1691.00      0.00 6810356  781928   0.40  python3
01:34:43 PM 20001     16283   2612.00      0.00 6810356  781928   0.40  python3
01:34:44 PM 20001     16283   2165.00      0.00 6810356  781928   0.40  python3
01:34:45 PM 20001     16283    422.00      0.00 6810356  781928   0.40  python3
01:34:46 PM 20001     16283   2669.00      0.00 6810356  781928   0.40  python3
01:34:47 PM 20001     16283   2720.00      0.00 6810356  781928   0.40  python3
01:34:48 PM 20001     16283   1420.00      0.00 6810356  781928   0.40  python3
01:34:49 PM 20001     16283   2043.00      0.00 6810356  781928   0.40  python3
01:34:50 PM 20001     16283   2580.00      0.00 6810356  781928   0.40  python3
01:34:51 PM 20001     16283   2086.14      0.00 6810356  781928   0.40  python3
01:34:52 PM 20001     16283    505.00      0.00 6810356  781928   0.40  python3
01:34:53 PM 20001     16283   2732.00      0.00 6810356  781928   0.40  python3
01:34:54 PM 20001     16283   2580.00      0.00 6810356  781928   0.40  python3
01:34:55 PM 20001     16283    868.00      0.00 6810356  781928   0.40  python3
01:34:56 PM 20001     16283   1750.00      0.00 6810356  781928   0.40  python3
01:34:57 PM 20001     16283   2643.00      0.00 6810356  781928   0.40  python3
