Linux 5.4.0-100-generic (node-0.vhive-test.ut-osa-pg0.wisc.cloudlab.us) 	02/14/2023 	_x86_64_	(40 CPU)

03:59:15 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:03:27 PM 20001     18280    534.00      0.00 34289704 17716916   9.01  python3
04:03:28 PM 20001     18280   1479.00      0.00 34289704 18779828   9.55  python3
04:03:29 PM 20001     18280    519.00      0.00 34289704 19838644  10.09  python3
04:03:30 PM 20001     18280    517.00      0.00 34289704 20895412  10.62  python3
04:03:31 PM 20001     18280    754.00      0.00 34289704 21956276  11.16  python3
04:03:32 PM 20001     18280    513.00      0.00 34289704 23004852  11.70  python3
04:03:33 PM 20001     18280    519.00      0.00 34289704 24063668  12.23  python3
04:03:34 PM 20001     18280    542.00      0.00 34289704 25126580  12.77  python3
04:03:35 PM 20001     18280    554.00      0.00 34289704 26046132  13.24  python3
04:03:36 PM 20001     18280  29654.00      0.00 34323228 26157600  13.30  python3
04:03:37 PM 20001     18280  22838.00      0.00 34350524 26201636  13.32  python3
04:03:38 PM 20001     18280  23138.00      0.00 34386536 26258688  13.35  python3
04:03:39 PM 20001     18280  26423.00      0.00 34422400 26312440  13.38  python3
04:03:40 PM 20001     18280  24348.00      0.00 34456996 26362084  13.40  python3
04:03:41 PM 20001     18280  20942.00      0.00 34494180 26417600  13.43  python3
04:03:42 PM 20001     18280  20115.00      0.00 34528644 26464692  13.45  python3
04:03:43 PM 20001     18280  21494.00      0.00 34563884 26514856  13.48  python3
04:03:44 PM 20001     18280  22376.00      0.00 34598860 26570436  13.51  python3
04:03:45 PM 20001     18280  22362.00      0.00 34634600 26623648  13.54  python3
04:03:46 PM 20001     18280  20605.00      0.00 34671008 26679184  13.56  python3
04:03:47 PM 20001     18280  18209.00      0.00 34706488 26729456  13.59  python3
04:03:48 PM 20001     18280  19976.00      0.00 34742484 26781732  13.62  python3
04:03:49 PM 20001     18280  18964.00      0.00 34778092 26838380  13.64  python3
04:03:50 PM 20001     18280  16027.00      0.00 34814752 26897348  13.67  python3
04:03:51 PM 20001     18280  18509.00      0.00 34851020 26954108  13.70  python3
04:03:52 PM 20001     18280  19429.00      0.00 34886148 27007932  13.73  python3
04:03:53 PM 20001     18280  17818.00      0.00 34921652 27061652  13.76  python3
04:03:54 PM 20001     18280  17719.00      0.00 34958296 27111760  13.78  python3
04:03:55 PM 20001     18280  24004.00      0.00 35008036 27173740  13.82  python3
04:03:56 PM 20001     18280  16547.00      0.00 35034660 27220404  13.84  python3
04:03:57 PM 20001     18280  15934.00      0.00 35066272 27265636  13.86  python3
04:03:58 PM 20001     18280  16505.94      0.00 35102060 27317852  13.89  python3
04:03:59 PM 20001     18280  15843.00      0.00 35137552 27365860  13.91  python3
04:04:00 PM 20001     18280  16556.00      0.00 35173180 27415556  13.94  python3
04:04:01 PM 20001     18280  15429.00      0.00 35207128 27462580  13.96  python3
04:04:02 PM 20001     18280  17529.00      0.00 35242500 27515456  13.99  python3
04:04:03 PM 20001     18280  17062.00      0.00 35278356 27569372  14.02  python3
04:04:04 PM 20001     18280  18228.00      0.00 35312708 27617436  14.04  python3
04:04:05 PM 20001     18280  21541.00      0.00 35350384 27670460  14.07  python3
04:04:06 PM 20001     18280  19616.00      0.00 35384956 27719760  14.09  python3
04:04:07 PM 20001     18280  23682.00      0.00 35418260 27771240  14.12  python3
04:04:08 PM 20001     18280  19201.00      0.00 35455568 27823136  14.15  python3
04:04:09 PM 20001     18280 365994.00      0.00 35472204 27845252  14.16  python3
04:04:10 PM 20001     18280 558487.00      0.00 35472204 27845252  14.16  python3
04:04:11 PM 20001     18280 121429.00      0.00 35472204 27845252  14.16  python3
04:04:12 PM 20001     18280   7719.00      0.00 35472204 27845252  14.16  python3
04:04:13 PM 20001     18280  16080.00      0.00 35503844 27890736  14.18  python3
04:04:14 PM 20001     18280  16027.00      0.00 35541896 27946152  14.21  python3
04:04:15 PM 20001     18280  17803.00      0.00 35577904 28000492  14.24  python3
04:04:16 PM 20001     18280  20221.00      0.00 35610040 28042888  14.26  python3
04:04:17 PM 20001     18280  18613.00      0.00 35647092 28089488  14.28  python3
