Linux 5.4.0-100-generic (node-0.vhive-test.ut-osa-pg0.wisc.cloudlab.us) 	02/15/2023 	_x86_64_	(40 CPU)

12:14:36 AM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:18:06 AM 20001     22776  11268.00      0.00 33056864 24132128  12.27  python3
12:18:07 AM 20001     22776  11069.00      0.00 33091972 24183736  12.30  python3
12:18:08 AM 20001     22776  12688.00      0.00 33136580 24251660  12.33  python3
12:18:09 AM 20001     22776   9443.00      0.00 33167144 24296536  12.35  python3
12:18:10 AM 20001     22776  12700.00      0.00 33202652 24356148  12.38  python3
12:18:11 AM 20001     22776  12752.00      0.00 33236728 24416132  12.41  python3
12:18:12 AM 20001     22776  13271.00      0.00 33273816 24470716  12.44  python3
12:18:13 AM 20001     22776  15283.00      0.00 33311548 24527988  12.47  python3
12:18:14 AM 20001     22776  15637.00      0.00 33345860 24587180  12.50  python3
12:18:15 AM 20001     22776  16522.00      0.00 33382764 24646440  12.53  python3
12:18:16 AM 20001     22776  16893.00      0.00 33418912 24700424  12.56  python3
12:18:17 AM 20001     22776  16994.00      0.00 33454680 24753256  12.58  python3
12:18:18 AM 20001     22776  16364.00      0.00 33489140 24805280  12.61  python3
12:18:19 AM 20001     22776  20744.00      0.00 33526432 24858536  12.64  python3
12:18:20 AM 20001     22776  18560.00      0.00 33564004 24916032  12.67  python3
12:18:21 AM 20001     22776  16891.00      0.00 33600284 24969788  12.69  python3
12:18:22 AM 20001     22776  16686.00      0.00 33636184 25025932  12.72  python3
12:18:23 AM 20001     22776  20294.00      0.00 33681804 25087044  12.75  python3
12:18:24 AM 20001     22776  15394.00      0.00 33711324 25132228  12.78  python3
12:18:25 AM 20001     22776  16921.00      0.00 33747368 25186652  12.81  python3
12:18:26 AM 20001     22776  17270.00      0.00 33782496 25238248  12.83  python3
12:18:27 AM 20001     22776   6051.00      0.00 33787788 14866344   7.56  python3
12:18:28 AM 20001     22776    598.00      0.00 33787788 15925160   8.10  python3
12:18:29 AM 20001     22776    534.00      0.00 33787788 17004456   8.65  python3
12:18:30 AM 20001     22776    526.00      0.00 33787788 18081704   9.19  python3
12:18:31 AM 20001     22776   1014.00      0.00 33787788 19152808   9.74  python3
12:18:32 AM 20001     22776    558.00      0.00 33787788 20225960  10.28  python3
12:18:33 AM 20001     22776    522.00      0.00 33787788 21295016  10.83  python3
12:18:34 AM 20001     22776    530.00      0.00 33787788 22370216  11.37  python3
12:18:35 AM 20001     22776    529.00      0.00 33787788 23441320  11.92  python3
12:18:36 AM 20001     22776    527.00      0.00 33787788 24516520  12.46  python3
12:18:37 AM 20001     22776   6653.00      0.00 33791420 25251672  12.84  python3
12:18:38 AM 20001     22776 452656.00      0.00 33802012 25264156  12.84  python3
12:18:39 AM 20001     22776 393327.00      0.00 33802012 25264156  12.84  python3
12:18:40 AM 20001     22776      0.00      0.00 33802012 25264156  12.84  python3
12:18:41 AM 20001     22776  15237.00      0.00 33830936 25303744  12.86  python3
12:18:42 AM 20001     22776  16964.00      0.00 33866176 25359364  12.89  python3
12:18:43 AM 20001     22776  15889.00      0.00 33901936 25411984  12.92  python3
12:18:44 AM 20001     22776  15264.00      0.00 33938716 25468264  12.95  python3
12:18:45 AM 20001     22776  15915.00      0.00 33975508 25529376  12.98  python3
12:18:46 AM 20001     22776  15365.00      0.00 34012676 25592272  13.01  python3
12:18:47 AM 20001     22776  15281.00      0.00 34049860 25649924  13.04  python3
12:18:48 AM 20001     22776  14931.00      0.00 34086128 25706964  13.07  python3
12:18:49 AM 20001     22776  23543.00      0.00 34158336 25795772  13.11  python3
12:18:50 AM 20001     22776  12709.00      0.00 34186496 25838820  13.14  python3
12:18:51 AM 20001     22776  12048.00      0.00 34214656 25891768  13.16  python3
12:18:52 AM 20001     22776  14069.00      0.00 34251164 25950896  13.19  python3
12:18:53 AM 20001     22776  14334.00      0.00 34288080 26008460  13.22  python3
12:18:54 AM 20001     22776  14382.00      0.00 34331136 26062564  13.25  python3
12:18:55 AM 20001     22776  12254.00      0.00 34362896 26113340  13.28  python3
12:18:56 AM 20001     22776  13684.00      0.00 34399440 26169272  13.30  python3
12:18:57 AM 20001     22776  13866.00      0.00 34434444 26221528  13.33  python3
12:18:58 AM 20001     22776  12934.00      0.00 34471596 26284668  13.36  python3
12:18:59 AM 20001     22776  12099.00      0.00 34509328 26346920  13.39  python3
12:19:00 AM 20001     22776  13440.00      0.00 34546932 26408780  13.43  python3
12:19:01 AM 20001     22776  12707.00      0.00 34584236 26465204  13.46  python3
12:19:02 AM 20001     22776  11842.00      0.00 34620612 26513024  13.48  python3
12:19:03 AM 20001     22776  12513.00      0.00 34657128 26563584  13.51  python3
12:19:04 AM 20001     22776  13175.00      0.00 34692360 26615948  13.53  python3
12:19:05 AM 20001     22776  12238.00      0.00 34728884 26664976  13.56  python3
12:19:06 AM 20001     22776  14780.00      0.00 34764256 26718612  13.58  python3
12:19:07 AM 20001     22776  17493.00      0.00 34801704 26772084  13.61  python3
12:19:08 AM 20001     22776  16817.00      0.00 34836804 26826996  13.64  python3
12:19:09 AM 20001     22776  15924.00      0.00 34873472 26882012  13.67  python3
12:19:10 AM 20001     22776  17199.00      0.00 34909628 26939636  13.70  python3
12:19:11 AM 20001     22776  18617.00      0.00 34944868 26993032  13.72  python3
12:19:12 AM 20001     22776  19221.00      0.00 34981420 27047268  13.75  python3
12:19:13 AM 20001     22776  21496.04      0.00 35028272 27109648  13.78  python3
12:19:14 AM 20001     22776  17169.00      0.00 35056432 27157284  13.81  python3
12:19:15 AM 20001     22776  18648.00      0.00 35090992 27216892  13.84  python3
12:19:16 AM 20001     22776  20709.00      0.00 35126400 27267372  13.86  python3
12:19:17 AM 20001     22776  21503.00      0.00 35161896 27322908  13.89  python3
12:19:18 AM 20001     22776 442626.00      0.00 35174544 27343236  13.90  python3
12:19:19 AM 20001     22776 444223.00      0.00 35174544 27343236  13.90  python3
12:19:20 AM 20001     22776  48056.00      0.00 35174544 27343236  13.90  python3
12:19:21 AM 20001     22776   5165.00      0.00 35183204 27355660  13.91  python3
12:19:22 AM 20001     22776  17912.00      0.00 35217664 27410748  13.94  python3
12:19:23 AM 20001     22776  17180.00      0.00 35253540 27465660  13.96  python3
12:19:24 AM 20001     22776  16164.00      0.00 35287736 27517500  13.99  python3
12:19:25 AM 20001     22776  16766.00      0.00 35323496 27575748  14.02  python3
12:19:26 AM 20001     22776  14534.00      0.00 35359112 27629096  14.05  python3
12:19:27 AM 20001     22776  15381.00      0.00 35394188 27680644  14.07  python3
12:19:28 AM 20001     22776  15958.00      0.00 35430720 27738168  14.10  python3
12:19:29 AM 20001     22776  13971.00      0.00 35466984 27785552  14.13  python3
12:19:30 AM 20001     22776  14242.00      0.00 35501964 27831176  14.15  python3
12:19:31 AM 20001     22776  14113.00      0.00 35538640 27883716  14.18  python3
12:19:32 AM 20001     22776  14518.00      0.00 35575304 27936944  14.20  python3
12:19:33 AM 20001     22776  14817.00      0.00 35611692 27986356  14.23  python3
12:19:34 AM 20001     22776  14508.00      0.00 35646016 28034928  14.25  python3
12:19:35 AM 20001     22776  14605.00      0.00 35681904 28090072  14.28  python3
12:19:36 AM 20001     22776   7241.00      0.00 34740496 17509520   8.90  python3
12:19:37 AM 20001     22776    501.00      0.00 34740496 18535568   9.42  python3
12:19:38 AM 20001     22776    519.00      0.00 34740496 19598480   9.96  python3
12:19:39 AM 20001     22776    604.00      0.00 34740496 20669584  10.51  python3
12:19:40 AM 20001     22776    525.00      0.00 34740496 21732496  11.05  python3
